,dates,values
0,2010-01-01,27.799999999999997
1,2010-01-02,1312.1
2,2010-01-03,0.0
3,2010-01-04,0.0
4,2010-01-05,0.0
5,2010-01-06,126.70000000000002
6,2010-01-07,0.0
7,2010-01-08,0.0
8,2010-01-09,0.0
9,2010-01-10,0.0
10,2010-01-11,0.0
11,2010-01-12,0.0
12,2010-01-13,8.6
13,2010-01-14,22.9
14,2010-01-15,0.0
15,2010-01-16,0.0
16,2010-01-17,74.1
17,2010-01-18,0.0
18,2010-01-19,0.0
19,2010-01-20,0.0
20,2010-01-21,0.0
21,2010-01-22,0.0
22,2010-01-23,0.6
23,2010-01-24,0.0
24,2010-01-25,0.0
25,2010-01-26,0.0
26,2010-01-27,0.0
27,2010-01-28,0.0
28,2010-01-29,0.0
29,2010-01-30,0.0
30,2010-01-31,0.0
31,2010-02-01,52.4
32,2010-02-02,32.2
33,2010-02-03,0.0
34,2010-02-04,70.3
35,2010-02-05,806.3
36,2010-02-06,1891.6
37,2010-02-07,0.0
38,2010-02-08,0.0
39,2010-02-09,107.7
40,2010-02-10,0.0
41,2010-02-11,77.80000000000001
42,2010-02-12,183.10000000000002
43,2010-02-13,446.3
44,2010-02-14,2210.6000000000004
45,2010-02-15,494.0
46,2010-02-16,71.0
47,2010-02-17,0.0
48,2010-02-18,0.0
49,2010-02-19,0.0
50,2010-02-20,0.0
51,2010-02-21,0.0
52,2010-02-22,69.3
53,2010-02-23,0.0
54,2010-02-24,0.0
55,2010-02-25,0.0
56,2010-02-26,0.0
57,2010-02-27,88.2
58,2010-02-28,148.7
59,2010-03-01,0.0
60,2010-03-02,0.0
61,2010-03-03,0.0
62,2010-03-04,0.0
63,2010-03-05,269.0
64,2010-03-06,1787.5
65,2010-03-07,1518.3
66,2010-03-08,3316.1000000000004
67,2010-03-09,32.300000000000004
68,2010-03-10,0.0
69,2010-03-11,0.0
70,2010-03-12,0.0
71,2010-03-13,0.0
72,2010-03-14,0.0
73,2010-03-15,0.0
74,2010-03-16,0.0
75,2010-03-17,0.0
76,2010-03-18,0.0
77,2010-03-19,0.0
78,2010-03-20,0.0
79,2010-03-21,0.0
80,2010-03-22,12.0
81,2010-03-23,0.0
82,2010-03-24,0.0
83,2010-03-25,0.0
84,2010-03-26,0.0
85,2010-03-27,0.0
86,2010-03-28,0.0
87,2010-03-29,390.19999999999993
88,2010-03-30,203.1
89,2010-03-31,353.8
90,2010-04-01,160.10000000000002
91,2010-04-02,0.0
92,2010-04-03,0.0
93,2010-04-04,0.0
94,2010-04-05,0.0
95,2010-04-06,0.0
96,2010-04-07,219.59999999999997
97,2010-04-08,48.1
98,2010-04-09,0.0
99,2010-04-10,11.2
100,2010-04-11,475.3
101,2010-04-12,28.5
102,2010-04-13,0.0
103,2010-04-14,0.0
104,2010-04-15,0.0
105,2010-04-16,0.0
106,2010-04-17,0.0
107,2010-04-18,0.0
108,2010-04-19,0.0
109,2010-04-20,0.0
110,2010-04-21,4.9
111,2010-04-22,0.0
112,2010-04-23,0.0
113,2010-04-24,391.9
114,2010-04-25,1467.8
115,2010-04-26,3.9
116,2010-04-27,0.0
117,2010-04-28,0.0
118,2010-04-29,0.0
119,2010-04-30,0.0
120,2010-05-01,0.0
121,2010-05-02,0.0
122,2010-05-03,0.0
123,2010-05-04,4.0
124,2010-05-05,779.0
125,2010-05-06,10.9
126,2010-05-07,0.0
127,2010-05-08,0.0
128,2010-05-09,0.0
129,2010-05-10,0.0
130,2010-05-11,0.0
131,2010-05-12,0.0
132,2010-05-13,0.0
133,2010-05-14,0.0
134,2010-05-15,0.0
135,2010-05-16,0.0
136,2010-05-17,2.7
137,2010-05-18,0.1
138,2010-05-19,0.0
139,2010-05-20,0.0
140,2010-05-21,0.0
141,2010-05-22,0.0
142,2010-05-23,0.0
143,2010-05-24,2.2
144,2010-05-25,320.4
145,2010-05-26,765.2
146,2010-05-27,8.4
147,2010-05-28,0.1
148,2010-05-29,1114.2
149,2010-05-30,449.40000000000003
150,2010-05-31,284.1
151,2010-06-01,0.0
152,2010-06-02,1.6
153,2010-06-03,0.0
154,2010-06-04,0.0
155,2010-06-05,0.0
156,2010-06-06,0.0
157,2010-06-07,0.0
158,2010-06-08,0.0
159,2010-06-09,13.9
160,2010-06-10,215.4
161,2010-06-11,0.0
162,2010-06-12,0.0
163,2010-06-13,0.0
164,2010-06-14,0.0
165,2010-06-15,0.0
166,2010-06-16,12.8
167,2010-06-17,507.9
168,2010-06-18,129.7
169,2010-06-19,4.8
170,2010-06-20,44.5
171,2010-06-21,30.7
172,2010-06-22,0.0
173,2010-06-23,0.0
174,2010-06-24,0.0
175,2010-06-25,20.599999999999998
176,2010-06-26,1448.8000000000002
177,2010-06-27,15.0
178,2010-06-28,0.0
179,2010-06-29,0.0
180,2010-06-30,0.0
181,2010-07-01,37.699999999999996
182,2010-07-02,0.5
183,2010-07-03,678.1
184,2010-07-04,2.6
185,2010-07-05,2.3
186,2010-07-06,456.90000000000003
187,2010-07-07,1.9
188,2010-07-08,1.7999999999999998
189,2010-07-09,0.6
190,2010-07-10,0.0
191,2010-07-11,289.6
192,2010-07-12,0.0
193,2010-07-13,0.0
194,2010-07-14,1549.6000000000001
195,2010-07-15,1316.4
196,2010-07-16,12.2
197,2010-07-17,10.4
198,2010-07-18,2.8
199,2010-07-19,42.7
200,2010-07-20,2.1
201,2010-07-21,17.0
202,2010-07-22,3.2
203,2010-07-23,12.200000000000001
204,2010-07-24,2.2
205,2010-07-25,4.2
206,2010-07-26,13.700000000000001
207,2010-07-27,2.0
208,2010-07-28,25.1
209,2010-07-29,341.00000000000006
210,2010-07-30,216.29999999999998
211,2010-07-31,7.3
212,2010-08-01,37.0
213,2010-08-02,1040.2
214,2010-08-03,11.7
215,2010-08-04,0.0
216,2010-08-05,9.6
217,2010-08-06,8.7
218,2010-08-07,0.0
219,2010-08-08,0.0
220,2010-08-09,0.0
221,2010-08-10,849.3
222,2010-08-11,1228.9
223,2010-08-12,1417.0000000000002
224,2010-08-13,28.9
225,2010-08-14,0.0
226,2010-08-15,106.3
227,2010-08-16,433.40000000000003
228,2010-08-17,122.19999999999999
229,2010-08-18,7.6
230,2010-08-19,879.8
231,2010-08-20,87.8
232,2010-08-21,99.6
233,2010-08-22,188.8
234,2010-08-23,0.0
235,2010-08-24,34.0
236,2010-08-25,113.9
237,2010-08-26,365.3
238,2010-08-27,393.1
239,2010-08-28,14.2
240,2010-08-29,2.5
241,2010-08-30,0.0
242,2010-08-31,0.0
243,2010-09-01,0.0
244,2010-09-02,66.50000000000001
245,2010-09-03,0.0
246,2010-09-04,1611.8
247,2010-09-05,1493.6000000000004
248,2010-09-06,143.29999999999998
249,2010-09-07,457.00000000000006
250,2010-09-08,2.3
251,2010-09-09,3.0
252,2010-09-10,1729.7
253,2010-09-11,549.9
254,2010-09-12,0.0
255,2010-09-13,10.4
256,2010-09-14,39.8
257,2010-09-15,1651.3000000000002
258,2010-09-16,15.799999999999999
259,2010-09-17,0.0
260,2010-09-18,0.0
261,2010-09-19,0.0
262,2010-09-20,0.0
263,2010-09-21,1.6
264,2010-09-22,0.0
265,2010-09-23,0.0
266,2010-09-24,0.0
267,2010-09-25,0.0
268,2010-09-26,0.0
269,2010-09-27,0.0
270,2010-09-28,0.0
271,2010-09-29,0.9
272,2010-09-30,0.0
273,2010-10-01,0.0
274,2010-10-02,801.4000000000001
275,2010-10-03,29.199999999999996
276,2010-10-04,0.0
277,2010-10-05,0.0
278,2010-10-06,0.0
279,2010-10-07,836.3999999999999
280,2010-10-08,0.0
281,2010-10-09,0.0
282,2010-10-10,0.0
283,2010-10-11,0.0
284,2010-10-12,0.4
285,2010-10-13,1786.8000000000002
286,2010-10-14,2289.3
287,2010-10-15,1596.5
288,2010-10-16,3830.9
289,2010-10-17,58.60000000000001
290,2010-10-18,0.0
291,2010-10-19,0.0
292,2010-10-20,0.0
293,2010-10-21,0.0
294,2010-10-22,0.0
295,2010-10-23,2.6
296,2010-10-24,377.0
297,2010-10-25,1.6
298,2010-10-26,0.0
299,2010-10-27,0.0
300,2010-10-28,0.0
301,2010-10-29,0.0
302,2010-10-30,12.4
303,2010-10-31,6250.1
304,2010-11-01,70.8
305,2010-11-02,294.59999999999997
306,2010-11-03,0.0
307,2010-11-04,0.0
308,2010-11-05,0.0
309,2010-11-06,7.1
